model,threshold,precision_informative,recall_informative,F2_informative,PR_AUC_informative,accuracy,selected_model_on_dev,task,F2_macro,PR_AUC_macro
SVM,0.05,0.8023152270703473,0.8842001962708538,0.866512790921331,0.8936657495932737,0.7857592942659105,False,binary,,
Bi-LSTM,0.055,0.7370007535795027,0.9597644749754661,0.9050527484730705,0.8960637955658994,0.7542533081285444,False,binary,,
BERT Base,0.055,0.755656108597285,0.9833169774288518,0.9274342835986672,0.9133056070553702,0.7851291745431632,True,binary,,
BERT Base,,,,,,0.6868304977945809,,multiclass,0.587248483003398,0.6299630445674903
BERTweet + Focal Loss,,,,,,0.6502835538752363,,multiclass,0.6512222440001738,0.6039445000730577
SVM,,,,,,0.6540642722117203,,multiclass,0.5040514264392572,0.5379460829863123
Bi-LSTM,,,,,,0.6502835538752363,,multiclass,0.5199236297970099,0.507265333783827
