epoch,train_loss,dev_loss
1,1.75193236657043,1.4371079000142903
2,0.9782520886232604,1.3301197932316706
3,0.6932293997326894,1.2491147609857411
4,0.5339622330754551,1.3859388621953816
5,0.4407947967523959,1.363076776266098
6,0.40953950305928044,1.2682774250323956
7,0.3455131268545763,1.3526785534161787
8,0.3051107385710104,1.4905849557656508
9,0.3263021892131264,1.4186277251977186
10,0.260373726375957,1.4093495722000415
11,0.24248344556831603,1.5749240678090315
12,0.21727030835489727,1.573280733365279
13,0.19878992735783554,1.523050727752539
14,0.19618376580748095,1.6733832428088555
15,0.17656736284383198,1.6821646231871386
16,0.1688333677767373,1.7462590703597436
