epoch,train_loss,dev_loss
1,1.7938741392164088,1.4218624921945424
2,1.1737121227961869,1.1613152554401984
3,0.8753568305453258,1.0893491506576538
4,0.6963913147129229,1.036312502164107
5,0.5684994343501418,1.023215142580179
6,0.4944800285261069,1.0056314399609199
7,0.4076443679297148,1.0721512987063482
8,0.3640282084025554,1.0710944556272948
9,0.31602481680352296,1.1111052494782667
10,0.273211661670635,1.1875497102737427
11,0.24520526970945186,1.2230382447059338
12,0.2027318938565788,1.223821392426124
13,0.17799644205552428,1.2710789201351314
14,0.16328624766597996,1.343208331328172
15,0.1315778225326716,1.4504469552865396
16,0.1211428618086363,1.5701557455154567
17,0.10071447043359946,1.6569534482864232
18,0.09301765139367599,1.7113870026973577
19,0.08541197638347078,1.691092814390476
20,0.09119795250303264,1.7087770253419876
