epoch,train_loss,dev_loss
1,2.0409303779032695,1.9630462939922626
2,1.8121414006646,1.7615342690394475
3,1.485802008589702,1.6513252716798048
4,1.227729363227958,1.636037643139179
5,0.9833761502557726,1.662478350676023
6,0.8140415035521806,1.7012292238382192
7,0.6791460872141283,1.7548831128157103
8,0.5770412293165478,1.8059673813673167
9,0.46831549047978954,1.9863205231153047
10,0.41335824665738574,1.9799688320893507
11,0.3551374816182834,2.1661770916902103
12,0.310783069525192,2.2503185042968163
13,0.2704928398910743,2.326744659588887
14,0.23388226444263066,2.427360814351302
15,0.21069463942922764,2.5932861268520355
16,0.19473671763023334,2.5518880050915937
17,0.16768695319544025,2.4172091598694143
