epoch,train_loss,dev_loss,dev_pr_auc_macro,gamma,lr
1,1.286843253515856,0.8215091637536591,0.5219554739600489,2.0,2e-05
2,0.823622443228402,0.6314701676076534,0.60119471878692,2.0,2e-05
3,0.537039914116096,0.540804694315382,0.6107612513292162,2.0,2e-05
4,0.38889108628229924,0.5297456657623544,0.6259722471496699,2.0,2e-05
